code,מקט,קו,כיוון,שם מפעיל,אשכול,מחוז,שם יישוב מוצא,שם יישוב יעד,מוצא_יעד מאוחד,סוג קו,שם סוג שירות,ייחודיות הקו,סוג אוטובוס,גודל אוטובוס,מספר חלופות,אורך מסלול (קמ) חלופה ראשית,"ק""מ שבועי",ממוצע נוסעים לקילומטר,מספר תחנות בקו - חלופה ראשית,הפעלת הקו,תחנות שקו זה משרת בבלעדיות,ישובים שקו זה משרת בבלעדיות,מהירות ממוצעת,משך נסיעה ממוצע (דקות),עלות תפעולית לנוסע,עלות תפעולית משוקללת,קבוצת יעילות תפעולית,כמות נסיעות יומית (ג),כמות נסיעות שבועיות,תיקופים יומי,תיקופים שבועי,ממוצע  תיקופים לנסיעה (שבועי),אומדן נוסעים (אחוזון 80),אומדן ממוצע נוסעים לנסיעה (אחוזון 80),מספר נוסעים מירבי,תקופת נסועה מירבית,הערה
19035_1,19035,35,1,נתיב אקספרס,הגליל,גולן גליל ועמקים,מעלות תרשיחא,עכו,מעלות תרשיחא_עכו,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,2,38.7,3629.6,0.2,57,מעל שנה וחצי,5,,30.63,75.81,71.44,42299.624,בינעירוני קצר,17,93,110.2,592.1,6.4,759.4,8.16559139784946,28,"יום חול, 12:00 - 14:59 - שפל יום 2",
19035_2,19035,35,2,נתיב אקספרס,הגליל,גולן גליל ועמקים,עכו,מעלות תרשיחא,מעלות תרשיחא_עכו,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,2,37.1,3480.5,0.2,54,מעל שנה וחצי,4,,31.35,71,65.24,39620.252,בינעירוני קצר,17,93,113,607.3,6.5,842.6,9.06021505376344,45,"יום חול, 06:00 - 08:59 - שיא בוקר",
19036_1,19036,36,1,אלקטרה אפיקים,"אשדוד-יבנה-ת""א",מרכז,שתולים,רחובות,שתולים_רחובות,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,1,29.4,822.6,0.6,45,מעל שנה וחצי,,,26.77,65.89,22.34,11069.47,בינעירוני קצר,5,28,94.1,495.5,17.7,650.2,23.2214285714286,41,"יום חול, 06:00 - 08:59 - שיא בוקר",| קו בינעירוני עם פחות מ-6 נסיעות יומיות
19036_2,19036,36,2,אלקטרה אפיקים,"אשדוד-יבנה-ת""א",מרכז,רחובות,שתולים,שתולים_רחובות,בינעירוני,מאסף,סדיר,בינעירוני,אוטובוס,1,29.6,1746.6,0.5,40,מעל שנה וחצי,,,25.8,68.84,25.79,24371.55,בינעירוני קצר,11,59,180,945,16,1174.6,19.9084745762712,32,"יום חול, 06:00 - 08:59 - שיא בוקר",
19037_1,19037,37,1,סופרבוס,העמקים,גולן גליל ועמקים,טבריה,אלומות,טבריה_אלומות,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,24.3,582.1,0.4,61,מעל שנה וחצי,,,27.06,53.88,34.13,7757.749,עירוני תדירות נמוכה,4,24,39.3,227.3,9.5,306.4,12.7666666666667,40.6,"יום שישי, 09:00 - 11:59 - שפל יום 1",| ממוצע נוסעים לקמ נמוך| קו עירוני עם פחות מ-10 נסיעות יומיות| מיעוט נוסעים בשעת שיא הבוקר
19037_2,19037,37,2,סופרבוס,העמקים,גולן גליל ועמקים,אלומות,טבריה,טבריה_אלומות,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,1,23.3,535.8,0.3,55,מעל שנה וחצי,,,28.24,49.5,42.67,6831.467,עירוני תדירות נמוכה,4,23,27.7,160.1,7,230.2,10.0086956521739,16.6,"יום חול, 09:00 - 11:59 - שפל יום 1",| ממוצע נוסעים לקמ נמוך| קו עירוני עם פחות מ-10 נסיעות יומיות
19038_1,19038,38,1,קווים,חדרה-נתניה,מטרופולין חיפה,אום אל פחם,אל עריאן,אום אל פחם_אל עריאן,בינעירוני,מאסף,סדיר,בינעירוני,מיניבוס,1,13.6,585.6,0.2,17,מעל שנה וחצי,,,33.09,24.66,44.62,6362.812,בינעירוני קצר,6,43,25.1,142.6,3.3,212.2,4.93488372093023,10.8,"יום חול, 12:00 - 14:59 - שפל יום 2",מכסימום נוסעים בתקופת יום קטן מ 15| מיעוט נוסעים בשעת שיא הבוקר
19038_2,19038,38,2,קווים,חדרה-נתניה,מטרופולין חיפה,אל עריאן,אום אל פחם,אום אל פחם_אל עריאן,בינעירוני,מאסף,סדיר,בינעירוני,מיניבוס,1,13.5,728.1,0.2,18,מעל שנה וחצי,,,37.47,21.62,42.63,7004.109,בינעירוני קצר,8,54,29.6,164.3,3,269.2,4.98518518518519,22.2,"יום חול, 06:00 - 08:59 - שיא בוקר",מכסימום נוסעים בתקופת יום קטן מ 10| מיעוט נוסעים בשעת שיא הבוקר
19039_1,19039,39,1,סופרבוס,העמקים,גולן גליל ועמקים,טבריה,אלומות,טבריה_אלומות,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,3,22.9,3938.6,1,51,מעל שנה וחצי,4,הזורעים,25.82,53.21,13.56,53948.46,עירוני תדירות נמוכה,29,169,734.8,3978.5,23.5,4972,29.4201183431953,54.2,"יום חול, 12:00 - 14:59 - שפל יום 2",| לבחון הוספת נסיעות בימי חול - 12:00-14:59| מומלץ להגדיל את תדירות הקו לעמידה בהנחיות התכנון לקווים עירוניים
19039_2,19039,39,2,סופרבוס,העמקים,גולן גליל ועמקים,אלומות,טבריה,טבריה_אלומות,עירוני,מקומי מאסף,סדיר,עירוני,אוטובוס,3,21.8,3460.8,0.9,50,מעל שנה וחצי,4,הזורעים,25.23,51.84,15.17,49137.147,עירוני תדירות נמוכה,27,158,597,3239.1,20.5,4078.4,25.8126582278481,44,"יום חול, 06:00 - 08:59 - שיא בוקר",| מומלץ להגדיל את תדירות הקו לעמידה בהנחיות התכנון לקווים עירוניים
19040_1,19040,40,1,קווים,חדרה-נתניה,מרכז,נתניה,בת חפר,נתניה_בת חפר,אזורי,מאסף,סדיר,בינעירוני,מיניבוס,1,39.2,1527.4,0.2,54,מעל שנה וחצי,24,"תנובות, בארותיים, עולש",32.24,72.95,55.44,17069.976,אזורי,7,39,55.8,307.9,7.9,399,10.2307692307692,20,"יום חול, 06:00 - 08:59 - שיא בוקר",| לבחון הוספת נסיעות בימי חול - 06:00-08:59| לבחון שינוי סוג רכב מוגדר לגדול יותר
